textbox12,UnitName,textbox18,EventTime,GeofenceName,GeofenceEvent1,Schedule
Group: ,Unit:ZNL193,,25/09/2024 6:22:31 a.m.,PEAJE SAN PEDRO ,OUT,
Group: ,Unit:ZNL193,,25/09/2024 6:49:37 a.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,25/09/2024 6:50:00 a.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,25/09/2024 2:04:50 p.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,25/09/2024 2:07:31 p.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,26/09/2024 4:28:26 p.m.,Bascula Auto Sur : Bogotá 110611,IN,
Group: ,Unit:ZNL193,,26/09/2024 4:39:15 p.m.,Bascula Auto Sur : Bogotá 110611,OUT,
Group: ,Unit:VBK301,,31/07/2024 12:20:04 p.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,31/07/2024 12:22:05 p.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,31/07/2024 12:34:00 p.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,31/07/2024 12:34:57 p.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,31/07/2024 12:42:06 p.m.,QuimiCauca,IN,
Group: ,Unit:VBK301,,31/07/2024 4:17:35 p.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,31/07/2024 4:18:39 p.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,31/07/2024 4:33:36 p.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,31/07/2024 4:34:36 p.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,1/08/2024 7:24:42 a.m.,PEAJE CIAT ,IN,
Group: ,Unit:VBK301,,1/08/2024 7:25:42 a.m.,PEAJE CIAT ,OUT,
Group: ,Unit:VBK301,,5/08/2024 2:37:01 p.m.,EDS La Palmirana,IN,
Group: ,Unit:VBK301,,5/08/2024 2:37:34 p.m.,EDS La Palmirana,OUT,
Group: ,Unit:VBK301,,6/08/2024 5:56:43 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,6/08/2024 5:58:43 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,6/08/2024 6:11:14 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,6/08/2024 6:14:43 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,6/08/2024 6:22:44 a.m.,QuimiCauca,IN,
Group: ,Unit:VBK301,,6/08/2024 10:27:28 a.m.,QuimiCauca,OUT,
