Unit,Events,Date,Landmark
KUM480,Geofence OUT,Sep 23 2024 05:13 PM,Ruta 5 Brenntag Buga
KUM480,Landmark OUT,Sep 23 2024 05:11 PM,parq. Las Palmas- Buga
KUM480,Landmark IN,Sep 23 2024 05:09 PM,parq. Las Palmas- Buga
KUM480,Ignition ON,Sep 23 2024 05:05 PM,
KUM480,Landmark OUT,Sep 23 2024 04:58 PM,estacion terpel de Paloblanco
KUM480,Landmark IN,Sep 23 2024 04:57 PM,estacion terpel de Paloblanco
KUM480,Ignition ON,Sep 23 2024 04:53 PM,
KUM480,Geofence IN,Sep 23 2024 04:39 PM,Ruta 5 Brenntag Buga
KUM480,Geofence OUT,Sep 23 2024 04:35 PM,PEAJE SAN PEDRO 
KUM480,Landmark OUT,Sep 23 2024 04:35 PM,Peaje Betania
KUM480,Geofence IN,Sep 23 2024 04:33 PM,PEAJE SAN PEDRO 
KUM480,Landmark IN,Sep 23 2024 04:33 PM,Peaje Betania
KUM480,Ignition ON,Sep 23 2024 04:20 PM,
KUM480,Geofence OUT,Sep 23 2024 03:50 PM,Ruta 5 Brenntag Tulua
KUM480,Landmark OUT,Sep 23 2024 03:50 PM,Levapan s a Tulua
KUM480,Landmark OUT,Sep 23 2024 03:48 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 03:44 PM,Levapan s a Tulua
KUM480,Ignition ON,Sep 23 2024 03:40 PM,Levapan s a Tulua
KUM480,Landmark IN,Sep 23 2024 03:34 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 03:27 PM,
KUM480,Landmark OUT,Sep 23 2024 02:48 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 02:40 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 02:34 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 02:18 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 02:16 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 02:11 PM,Dotaciones Quimicas EM LTDA
KUM480,Landmark IN,Sep 23 2024 02:10 PM,Dotaciones Quimicas EM LTDA
KUM480,Ignition ON,Sep 23 2024 02:09 PM,Levapan s a Tulua
KUM480,Landmark IN,Sep 23 2024 01:50 PM,Levapan s a Tulua
KUM480,Geofence IN,Sep 23 2024 01:45 PM,Ruta 5 Brenntag Tulua
KUM480,Geofence OUT,Sep 23 2024 01:36 PM,EDS San Pedro
KUM480,Geofence IN,Sep 23 2024 01:34 PM,EDS San Pedro
KUM480,Landmark OUT,Sep 23 2024 01:30 PM,Peaje Betania
KUM480,Geofence OUT,Sep 23 2024 01:28 PM,PEAJE SAN PEDRO 
